 train         node      observed        predicted
     y          231    0.477068E+001    0.439457E+001
     y          240    0.444265E+001    0.489325E+001
     y          220    0.363759E+001    0.414166E+001
     y          113    0.491265E+001    0.480389E+001
     y          260    0.358352E+001    0.361351E+001
     y          131    0.479579E+001    0.482770E+001
     y          431    0.380666E+001    0.435274E+001
     y          231    0.501728E+001    0.520679E+001
     y          113    0.506890E+001    0.516589E+001
     y          431    0.340120E+001    0.389551E+001
     y           51    0.423411E+001    0.382517E+001
     y          241    0.489035E+001    0.502381E+001
     y          223    0.470953E+001    0.455413E+001
     y          113    0.482831E+001    0.477762E+001
     y          133    0.554126E+001    0.515018E+001
     y          132    0.497673E+001    0.441237E+001
     y          220    0.424850E+001    0.444288E+001
     y           17    0.548480E+001    0.481985E+001
     y          113    0.460517E+001    0.462424E+001
     y          113    0.433073E+001    0.449214E+001
     y          240    0.434381E+001    0.471559E+001
     y          241    0.355535E+001    0.442362E+001
     y          132    0.424850E+001    0.479110E+001
     y          240    0.423411E+001    0.463746E+001
     y          231    0.481218E+001    0.528870E+001
     y          448    0.516479E+001    0.489065E+001
     y          240    0.565599E+001    0.504426E+001
     y          437    0.477912E+001    0.483766E+001
     y          431    0.378419E+001    0.359415E+001
     y          240    0.519296E+001    0.467205E+001
     y           61    0.512990E+001    0.514256E+001
     y          240    0.479579E+001    0.470476E+001
     y          131    0.475359E+001    0.482770E+001
     y          113    0.503044E+001    0.496734E+001
     y           50    0.391202E+001    0.369393E+001
     y          223    0.446591E+001    0.468050E+001
     y          220    0.336730E+001    0.447876E+001
     y           23    0.431749E+001    0.436629E+001
     y           17    0.520949E+001    0.481985E+001
     y          121    0.610925E+001    0.608812E+001
     y          231    0.494164E+001    0.472182E+001
     y          240    0.584354E+001    0.521507E+001
     y           23    0.329584E+001    0.405156E+001
     y          113    0.530827E+001    0.548166E+001
     y          220    0.407754E+001    0.437452E+001
     y          261    0.460517E+001    0.502871E+001
     y          261    0.507517E+001    0.430874E+001
     y          451    0.572685E+001    0.533312E+001
     y          436    0.299573E+001    0.338061E+001
     y           67    0.635437E+001    0.609165E+001
     y          231    0.485981E+001    0.512381E+001
     y          113    0.544242E+001    0.557473E+001
     y           51    0.467283E+001    0.390460E+001
     y          223    0.460517E+001    0.462482E+001
     y          449    0.321888E+001    0.322448E+001
     y           20    0.417439E+001    0.377164E+001
     y          117    0.540268E+001    0.540596E+001
     y          231    0.537528E+001    0.538457E+001
     y          437    0.336730E+001    0.351962E+001
     y           36    0.534233E+001    0.531498E+001
     y          230    0.470048E+001    0.465497E+001
