host_response_rate host_acceptance_rate host_is_superhost accommodates beds price minimum_nights maximum_nights has_availability number_of_reviews review_scores_rating instant_bookable reviews_per_month bathrooms
1.0 0.97 f 2 1.0 4.356708826689592 32 1125 t 0 NA f NA 1.0
1.0 0.97 t 4 3.0 4.48863636973214 2 29 t 70 4.96 f 6.19 1.0
1.0 0.95 t 8 3.0 5.605802066295998 1 365 t 8 5.0 f 1.97 2.0
1.0 0.98 t 7 4.0 4.969813299576001 29 120 t 0 NA t NA 2.0
1.0 0.98 f 2 1.0 3.295836866004329 32 365 t 1 5.0 t 0.53 1.0
1.0 0.87 t 2 1.0 3.9512437185814275 1 90 t 65 4.85 f 4.86 1.0
1.0 0.98 f 4 2.0 4.787491742782046 1 1125 t 24 4.33 f 3.77 1.0
0.83 1.0 t 4 3.0 5.272999558563747 4 28 t 67 4.87 f 2.24 1.5
1.0 0.68 t 2 1.0 5.075173815233827 60 1124 t 1 5.0 f 0.01 1.0
1.0 0.77 f 14 7.0 7.718240951959316 1 1125 t 10 5.0 f 0.18 3.5
1.0 1.0 f 2 1.0 3.6109179126442243 1 365 t 2 5.0 t 1.2 2.0
1.0 0.91 f 1 1.0 3.1780538303479458 32 365 t 6 4.17 f 0.11 3.0
1.0 0.5 f 4 2.0 5.0106352940962555 32 1125 t 75 4.81 f 1.02 1.5
1.0 1.0 f 2 1.0 3.912023005428146 32 365 t 2 3.0 t 0.26 1.0
1.0 0.96 t 6 3.0 5.420534999272286 1 365 t 4 5.0 f 1.29 2.5
1.0 0.65 f 3 1.0 4.553876891600541 32 365 t 1 4.0 f 0.02 1.0
0.99 0.99 f 2 1.0 4.204692619390966 1 365 t 84 4.73 f 4.49 1.0
1.0 1.0 t 2 1.0 4.248495242049359 2 365 t 13 4.77 t 3.36 1.0
1.0 0.98 f 1 1.0 3.5553480614894135 2 29 t 14 4.86 t 1.43 1.5
1.0 0.98 f 2 1.0 3.9889840465642745 2 180 t 12 3.5 f 0.75 1.0
NA NA f 4 2.0 5.991464547107982 32 1125 t 0 NA f NA 1.0
1.0 0.99 t 8 4.0 5.298317366548036 2 999 t 49 5.0 f 5.09 2.0
1.0 0.94 t 10 4.0 5.521460917862246 2 365 t 23 5.0 f 3.3 2.0
0.8 0.64 t 4 4.0 3.912023005428146 2 16 t 108 4.71 f 1.52 1.0
1.0 1.0 f 4 3.0 4.8283137373023015 2 60 t 4 4.25 f 1.13 2.0
1.0 0.94 f 2 1.0 2.995732273553991 1 1125 t 43 4.42 t 0.78 1.0
1.0 1.0 f 1 1.0 3.871201010907891 32 1125 t 36 4.97 f 0.68 1.0
1.0 0.97 f 2 1.0 4.356708826689592 32 1125 t 1 4.0 f 0.07 1.0
1.0 1.0 t 6 3.0 5.293304824724492 3 1125 t 120 4.97 f 2.01 1.0
1.0 0.5 f 1 1.0 3.8066624897703196 45 90 t 0 NA f NA 1.0
1.0 0.87 t 2 1.0 4.007333185232471 1 90 t 66 4.88 f 4.86 1.0
1.0 0.94 t 4 3.0 4.948759890378168 3 1125 t 39 4.92 f 1.88 1.0
1.0 0.96 t 2 1.0 3.8918202981106265 32 1125 t 199 4.85 f 1.59 1.5
1.0 0.91 f 2 1.0 3.9889840465642745 2 90 t 9 4.89 f 4.58 1.0
1.0 0.98 t 5 3.0 5.19295685089021 2 1125 t 46 4.91 f 2.35 1.0
NA NA f 2 1.0 4.23410650459726 32 90 t 0 NA f NA 1.0
1.0 0.99 t 2 1.0 3.6635616461296463 1 1125 t 500 4.82 t 4.39 1.0
1.0 0.97 t 6 3.0 5.017279836814924 2 365 t 72 4.88 f 3.7 2.0
0.99 0.99 t 5 2.0 5.488937726156687 2 365 t 23 4.79 t 1.59 2.0
1.0 0.98 f 4 2.0 4.23410650459726 1 365 t 154 4.8 t 2.11 1.0
1.0 0.96 f 2 1.0 5.293304824724492 1 365 t 1 5.0 t 0.04 1.0
1.0 1.0 t 2 NA 5.003946305945459 1 1125 t 13 4.69 f 0.47 1.0
1.0 0.95 t 4 2.0 4.2626798770413155 3 365 t 77 4.71 f 3.16 1.0
1.0 0.99 f 2 1.0 5.0106352940962555 32 365 t 2 4.5 f 0.34 1.0
NA NA f 6 3.0 5.60947179518496 1 1125 t 47 5.0 f 0.82 1.0
1.0 0.99 t 4 2.0 4.3694478524670215 1 1125 t 79 4.9 f 2.81 1.0
1.0 1.0 t 1 1.0 4.356708826689592 28 1125 t 2 5.0 f 1.18 1.0
1.0 0.96 t 6 3.0 5.298317366548036 32 365 t 0 NA f NA 2.0
1.0 1.0 t 5 4.0 4.382026634673881 32 150 t 1 5.0 f 0.75 1.5
1.0 0.98 t 6 3.0 4.553876891600541 1 365 t 177 4.9 t 2.82 2.0
0.8 0.5 f 4 2.0 5.075173815233827 32 1125 t 2 5.0 f 0.06 1.0
0.5 0.0 f 2 1.0 4.0943445622221 32 1125 t 12 4.75 f 0.21 1.0
1.0 0.75 t 4 2.0 5.1647859739235145 14 365 t 3 5.0 f 0.44 2.5
1.0 0.97 f 2 1.0 4.7535901911063645 32 1125 t 0 NA f NA 1.0
1.0 0.88 t 1 1.0 3.4657359027997265 32 1125 t 14 4.86 f 0.18 1.0
NA 0.0 f 4 2.0 6.214608098422191 1 1125 t 14 4.86 f 0.26 1.0
1.0 1.0 t 5 3.0 4.709530201312334 2 365 t 24 4.96 t 4.29 1.5
1.0 0.97 t 8 4.0 4.343805421853684 1 365 t 16 5.0 t 3.5 1.0
0.96 0.99 t 5 3.0 4.31748811353631 2 365 t 91 4.86 f 4.25 1.0
1.0 1.0 f 3 1.0 5.0106352940962555 3 30 t 207 4.99 f 2.8 1.0
1.0 1.0 t 2 1.0 3.9318256327243257 1 365 t 22 4.86 t 1.14 2.0
1.0 1.0 t 8 2.0 4.31748811353631 2 365 t 43 4.81 t 3.5 1.5
1.0 0.92 t 4 2.0 4.276666119016055 32 365 t 1 5.0 f 0.68 2.0
1.0 0.3 f 1 1.0 3.912023005428146 15 365 t 1 5.0 f 0.26 1.0
1.0 1.0 t 6 3.0 5.14166355650266 2 365 t 23 4.77 t 1.21 2.0
1.0 0.97 f 2 1.0 4.6443908991413725 32 1125 t 2 5.0 f 0.05 1.0
1.0 0.97 f 2 1.0 4.997212273764115 32 1125 t 0 NA f NA 1.0
1.0 0.97 f 4 1.0 6.028278520230698 32 365 t 0 NA t NA 1.0
1.0 0.97 f 6 4.0 5.8377304471659395 3 1125 t 54 4.93 f 1.86 1.0
1.0 1.0 f 2 1.0 4.394449154672439 2 100 t 74 4.87 t 3.68 1.0
NA NA f 3 2.0 4.174387269895637 32 1125 t 14 4.64 f 0.41 1.0
1.0 0.94 t 4 2.0 4.663439094112067 4 1125 t 78 4.63 t 0.66 1.0
NA 1.0 f 2 1.0 5.356586274672012 32 365 t 0 NA t NA 1.0
NA NA f 2 1.0 5.19295685089021 32 120 t 0 NA f NA 1.0
0.98 0.88 t 2 1.0 3.9889840465642745 1 90 t 37 4.68 f 2.12 1.0
1.0 0.91 t 6 3.0 3.9512437185814275 1 90 t 29 4.93 f 2.45 1.0
1.0 0.94 t 4 2.0 4.59511985013459 2 365 t 1 5.0 f 1.0 1.0
1.0 0.98 f 10 6.0 4.852030263919617 2 1125 t 91 4.63 f 3.62 3.0
NA 0.8 t 2 1.0 4.51085950651685 32 1125 t 74 4.92 f 0.73 1.0
1.0 1.0 f 8 4.0 4.653960350157523 1 365 t 1 5.0 f 1.0 1.0
1.0 0.9 t 4 2.0 3.9512437185814275 1 365 t 11 4.73 f 2.09 1.0
1.0 0.75 f 5 NA 5.099866427824199 2 365 t 1 5.0 f 1.0 0.0
1.0 0.99 t 3 2.0 4.74493212836325 2 1125 t 91 4.79 f 1.7 1.0
1.0 1.0 f 2 1.0 4.330733340286331 2 100 t 84 4.88 f 3.71 1.0
1.0 1.0 t 7 4.0 5.308267697401205 32 1125 t 3 5.0 t 0.35 2.0
1.0 1.0 f 5 2.0 4.663439094112067 32 365 t 0 NA f NA 1.0
1.0 1.0 t 4 4.0 4.812184355372417 2 26 t 51 4.83 f 1.36 1.0
0.88 0.8 f 2 1.0 3.58351893845611 32 730 t 0 NA f NA 1.0
NA NA f 5 2.0 5.318119993844216 2 14 t 34 4.97 f 2.68 1.0
1.0 0.97 t 6 2.0 5.135798437050262 2 365 t 55 4.87 f 2.93 2.0
1.0 0.87 f 8 5.0 5.855071922202427 2 1125 t 82 4.67 f 0.89 3.0
1.0 1.0 t 9 5.0 5.8377304471659395 2 1125 t 47 4.83 f 3.7 2.0
1.0 0.94 t 7 5.0 5.081404364984463 2 27 t 71 4.88 f 1.25 1.5
0.98 0.97 t 2 1.0 5.298317366548036 1 365 t 46 4.7 f 0.87 1.0
NA 0.99 f 1 11.0 3.6888794541139363 32 1125 t 24 4.54 t 0.33 11.5
1.0 1.0 f 4 3.0 5.056245805348308 32 1125 t 3 4.67 f 0.17 1.0
0.99 1.0 t 6 3.0 4.61512051684126 2 30 t 42 4.91 t 5.58 2.0
1.0 0.9 t 3 1.0 4.219507705176107 32 1125 t 5 5.0 t 0.2 1.0
NA NA f 8 5.0 5.10594547390058 60 365 t 0 NA f NA 3.5
1.0 1.0 t 2 1.0 4.465908118654584 1 180 t 65 4.91 f 1.83 1.0
1.0 1.0 t 4 2.0 4.976733742420574 1 1125 t 31 5.0 f 2.2 1.0
1.0 0.87 t 2 1.0 4.0943445622221 1 90 t 5 4.8 f 1.76 1.0
1.0 0.99 t 4 2.0 4.77912349311153 1 1125 t 115 4.84 f 2.2 1.0
1.0 1.0 t 2 1.0 4.219507705176107 2 28 t 391 4.97 f 5.3 1.0
NA NA f 2 1.0 5.521460917862246 32 1125 t 0 NA f NA 1.0
NA NA f 4 2.0 4.787491742782046 365 365 t 0 NA f NA 2.0
1.0 0.97 f 2 1.0 4.74493212836325 32 1125 t 1 5.0 f 0.05 1.0
1.0 0.95 f 6 4.0 5.1647859739235145 2 1125 t 35 4.57 f 1.16 2.0
1.0 1.0 t 6 3.0 5.877735781779639 3 1125 t 88 4.97 f 1.16 2.5
NA NA f 6 3.0 4.787491742782046 32 365 t 0 NA t NA 1.0
1.0 1.0 t 4 3.0 4.59511985013459 32 365 t 2 5.0 f 0.31 1.0
1.0 1.0 t 4 3.0 4.6443908991413725 2 1125 t 58 5.0 f 3.87 1.0
1.0 0.98 f 2 1.0 2.833213344056216 32 500 t 1 5.0 t 1.0 1.0
1.0 0.97 t 2 1.0 4.624972813284271 2 1125 t 24 4.88 f 0.93 1.0
NA NA f 6 2.0 5.298317366548036 32 1125 t 10 3.7 f 0.21 1.0
1.0 1.0 t 6 3.0 5.966146739123692 32 1125 t 52 4.94 f 0.7 2.0
1.0 0.92 t 2 1.0 3.970291913552122 32 95 t 0 NA f NA 1.0
1.0 0.9 t 8 4.0 4.382026634673881 1 90 t 24 4.58 f 5.33 1.0
NA NA f 2 1.0 3.6635616461296463 1125 1125 t 1 5.0 t 0.02 2.0
NA NA f 2 1.0 5.521460917862246 32 365 t 0 NA t NA 1.0
1.0 0.67 f 7 1.0 4.174387269895637 30 180 t 60 4.75 f 1.93 1.0
1.0 1.0 t 6 4.0 5.087596335232384 1 1125 t 21 4.62 t 4.7 1.0
1.0 0.98 t 3 1.0 4.23410650459726 3 180 t 67 4.87 f 1.34 1.0
1.0 1.0 t 2 1.0 4.07753744390572 2 365 t 0 NA f NA 1.5
0.99 0.97 f 16 16.0 5.855071922202427 2 1125 t 5 5.0 f 0.51 4.5
1.0 1.0 t 4 2.0 4.406719247264253 1 365 t 70 4.73 t 2.32 2.0
1.0 0.87 f 2 4.0 3.367295829986474 32 365 t 1 5.0 f 0.6 3.0
0.67 1.0 f 2 2.0 4.477336814478207 32 1125 t 0 NA t NA 1.0
1.0 0.97 f 2 1.0 4.812184355372417 32 1125 t 0 NA f NA 1.0
1.0 0.83 t 4 2.0 5.476463551931511 32 365 t 7 4.86 f 0.4 2.0
1.0 0.72 f 1 1.0 3.8066624897703196 10 30 t 60 4.73 f 0.57 1.0
1.0 1.0 f 4 2.0 5.521460917862246 1 30 t 10 4.64 t 2.01 1.0
0.89 0.91 t 4 3.0 4.382026634673881 32 150 t 0 NA t NA 1.5
1.0 0.98 t 1 1.0 3.367295829986474 2 365 t 4 5.0 t 1.94 1.0
0.97 1.0 t 2 1.0 4.110873864173311 1 1125 t 346 4.89 f 5.9 1.0
1.0 0.91 f 4 1.0 4.941642422609304 32 365 t 0 NA t NA 1.0
1.0 1.0 t 4 2.0 5.117993812416755 2 1125 t 151 4.99 f 2.82 1.0
1.0 0.91 f 4 2.0 5.3612921657094255 32 365 t 0 NA t NA 2.0
0.99 0.99 f 3 2.0 4.04305126783455 1 365 t 86 4.71 f 4.37 1.0
1.0 0.97 t 2 1.0 4.90527477843843 2 730 t 282 5.0 f 3.83 1.0
0.9 0.92 f 6 2.0 4.867534450455582 2 1125 t 12 4.5 f 0.78 1.0
1.0 1.0 f 3 2.0 4.477336814478207 2 365 t 12 4.67 t 2.54 1.0
1.0 1.0 t 6 3.0 5.1647859739235145 1 365 t 55 4.73 t 4.66 2.0
0.98 0.99 f 2 1.0 3.044522437723423 2 30 t 2 4.5 t 2.0 1.0
0.98 0.97 t 2 1.0 5.3230099791384085 1 365 t 87 4.82 f 1.9 1.0
1.0 0.5 f 2 1.0 4.31748811353631 32 1125 t 0 NA f NA 1.0
1.0 0.61 f 4 2.0 4.31748811353631 1 1125 t 13 5.0 f 2.73 1.5
1.0 1.0 f 3 2.0 4.143134726391533 1 365 t 198 4.76 t 2.94 1.0
1.0 1.0 t 2 2.0 4.3694478524670215 2 90 t 310 4.93 t 2.38 1.5
NA NA f 5 3.0 4.382026634673881 32 365 t 0 NA f NA 1.5
1.0 0.49 t 4 2.0 5.241747015059643 32 365 t 1 5.0 f 0.05 2.0
NA NA f 1 1.0 5.0106352940962555 32 1125 t 1 5.0 f 0.02 1.0
1.0 0.98 t 6 1.0 4.787491742782046 2 60 t 258 4.96 f 3.71 1.0
1.0 0.97 f 2 1.0 4.465908118654584 32 1125 t 1 5.0 f 0.19 1.0
1.0 1.0 t 2 1.0 3.4965075614664802 1 28 t 198 4.69 t 2.2 1.0
0.99 1.0 t 8 4.0 4.882801922586371 2 30 t 60 4.79 t 5.13 2.0
1.0 0.49 t 2 1.0 5.176149732573829 32 1125 t 0 NA f NA 1.0
1.0 0.72 t 6 4.0 5.062595033026967 2 28 t 94 4.8 f 2.53 1.0
1.0 0.97 f 2 1.0 4.844187086458591 32 1125 t 1 5.0 f 0.03 1.0
NA 1.0 t 2 1.0 4.499809670330265 32 1125 t 40 4.68 t 1.31 1.0
1.0 0.6 f 4 2.0 4.454347296253507 7 24 t 8 5.0 f 0.22 1.5
1.0 1.0 t 14 9.0 5.700443573390687 2 365 t 81 4.81 t 1.51 2.0
1.0 0.99 f 8 4.0 5.963579343618446 2 365 t 0 NA f NA 4.0
1.0 0.8 f 4 2.0 5.420534999272286 32 365 t 1 5.0 f 0.16 2.0
1.0 1.0 f 2 1.0 3.58351893845611 2 28 t 7 5.0 f 4.12 1.0
0.88 0.8 f 2 1.0 3.8066624897703196 32 730 t 0 NA f NA 1.0
1.0 1.0 f 16 5.0 6.335054251498059 2 365 t 25 4.84 t 1.39 1.0
1.0 1.0 t 2 1.0 4.110873864173311 2 1125 t 162 4.81 t 2.82 1.0
1.0 1.0 f 6 3.0 5.170483995038151 3 28 t 61 5.0 f 2.14 1.0
1.0 0.97 t 6 3.0 4.90527477843843 1 365 t 1 5.0 f 1.0 2.5
1.0 0.65 f 3 1.0 4.553876891600541 32 365 t 7 4.71 f 0.15 1.0
1.0 0.92 t 4 2.0 3.7612001156935624 32 95 t 4 4.25 f 0.21 1.0
1.0 0.98 t 1 1.0 3.4965075614664802 2 180 t 24 4.79 f 0.62 1.5
1.0 1.0 t 2 1.0 5.0106352940962555 1 1125 t 9 4.67 t 0.48 1.0
1.0 0.95 t 4 1.0 4.897839799950911 3 365 t 13 4.62 f 0.86 1.0
1.0 0.0 f 8 2.0 5.293304824724492 60 365 t 14 4.64 t 0.19 2.5
1.0 NA f 2 1.0 3.7376696182833684 32 365 t 0 NA f NA 2.0
1.0 0.95 t 6 3.0 5.298317366548036 1 365 t 1 5.0 t 0.35 1.0
1.0 1.0 f 10 5.0 5.926926025970411 2 365 t 8 5.0 t 3.48 2.0
1.0 1.0 f 6 2.0 4.499809670330265 2 1125 t 150 4.55 t 2.55 1.0
NA NA f 2 1.0 5.659482215759621 32 50 t 0 NA t NA 1.0
1.0 0.99 f 2 1.0 3.6888794541139363 1 1125 t 46 4.35 t 1.13 1.0
1.0 1.0 f 8 4.0 5.541263545158426 2 365 t 5 4.8 t 1.67 2.0
1.0 1.0 f 8 3.0 4.68213122712422 1 1125 t 25 4.56 t 4.08 2.0
1.0 0.87 t 2 1.0 4.1588830833596715 1 90 t 41 4.83 f 2.61 1.0
1.0 0.9 t 2 1.0 3.9512437185814275 1 90 t 72 4.9 f 4.65 1.0
NA 0.5 f 5 2.0 5.1647859739235145 32 150 t 41 4.88 f 0.73 1.0
1.0 0.86 f 6 3.0 5.2832037287379885 2 365 t 3 5.0 f 2.43 1.0
0.95 0.99 f 5 3.0 4.919980925828125 32 1125 t 0 NA t NA 1.0
1.0 1.0 t 5 2.0 4.770684624465665 3 1125 t 27 4.9 t 1.21 1.0
1.0 0.99 NA 2 1.0 4.48863636973214 2 365 t 5 4.67 f 0.84 1.5
1.0 0.99 t 2 1.0 3.4965075614664802 32 365 t 0 NA f NA 1.0
